date,note_1,note_10,note_100,note_20,note_5,note_50,year,month,quarter,month_sin,month_cos,banknote_total,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali
2018-02-01,2457.5,6146.7,44782.5,3005.7,2363.4,46074.4,2018,2,1,0.8660254037844386,0.5000000000000001,104830.2,105424.79999999999,98832.6,99851.0,96549.6,103466.9333333333,100659.43333333333,99435.58333333333,2,0,0,0,1,0
2018-03-01,2398.2,5805.9,44576.2,2877.0,2273.5,45209.3,2018,3,1,1.0,6.123233995736766e-17,103140.1,104830.2,100145.79999999999,97618.4,96155.70000000001,104465.03333333333,101579.71666666667,100017.61666666665,0,0,2,0,0,0
2018-04-01,2359.6,5678.0,45927.8,2927.5,2216.1,45788.7,2018,4,2,0.8660254037844387,-0.4999999999999998,104897.7,103140.1,105424.79999999999,97104.8,96820.0,104289.33333333333,102878.53333333333,100690.75833333335,0,3,0,0,0,0
2018-05-01,2659.8,6046.5,46678.8,3051.0,2470.7,46796.7,2018,5,2,0.49999999999999994,-0.8660254037844387,107703.5,104897.7,104830.2,98832.6,97135.4,105247.09999999999,104357.01666666666,101571.43333333335,3,2,0,0,0,0
2018-06-01,2737.4,5995.1,45358.6,3079.5,2510.4,46118.8,2018,6,2,1.2246467991473532e-16,-1.0,105799.8,107703.5,103140.1,100145.79999999999,101910.20000000001,106133.66666666667,105299.35000000002,101895.56666666665,2,0,3,1,0,0
2018-07-01,2652.7,5607.1,43894.9,2893.5,2394.7,43809.9,2018,7,3,-0.4999999999999997,-0.8660254037844388,101252.8,105799.8,104897.7,105424.79999999999,97398.09999999999,104918.7,104604.01666666666,102216.79166666667,0,2,2,0,0,0
2018-08-01,2556.4,5553.9,44234.2,2912.6,2295.7,44337.7,2018,8,3,-0.8660254037844384,-0.5000000000000004,101890.5,101252.8,107703.5,104830.2,99851.0,102981.03333333333,104114.06666666667,102386.75,2,5,0,0,0,0
2018-09-01,2489.5,5439.4,43617.2,2863.6,2246.9,43638.1,2018,9,3,-1.0,-1.8369701987210297e-16,100294.7,101890.5,105799.8,103140.1,97618.4,101146.0,103639.83333333333,102609.77499999998,5,0,2,0,0,0
2018-10-01,2436.1,5384.9,43070.7,2841.8,2202.5,43595.2,2018,10,4,-0.8660254037844386,0.5000000000000001,99531.2,100294.7,101252.8,104897.7,97104.8,100572.13333333335,102745.41666666667,102811.97500000002,0,1,5,0,0,0
2018-11-01,2411.6,5362.0,43561.2,2853.8,2179.9,43751.9,2018,11,4,-0.5000000000000004,0.8660254037844384,100120.4,99531.2,101890.5,107703.5,98832.6,99982.09999999999,101481.56666666667,102919.29166666667,1,1,0,0,0,0
2018-12-01,2402.2,5413.1,44434.1,2915.7,2177.8,45365.3,2018,12,4,-2.4492935982947064e-16,1.0,102708.20000000001,100120.4,100294.7,105799.8,100145.79999999999,100786.59999999999,100966.3,103132.825,1,0,1,0,0,0
2019-01-01,2596.6,6573.8,47418.1,3191.2,2560.4,47723.1,2019,1,1,0.49999999999999994,0.8660254037844387,110063.2,102708.20000000001,99531.2,101252.8,105424.79999999999,104297.26666666666,102434.7,103519.35833333332,0,2,1,0,0,0
2019-02-01,2548.0,6199.8,45703.8,3003.7,2495.7,45370.2,2019,2,1,0.8660254037844386,0.5000000000000001,105321.2,110063.2,100120.4,101890.5,104830.2,106030.86666666668,103006.48333333334,103560.27500000001,2,0,0,0,1,0
2019-03-01,2495.9,5975.2,45354.1,2964.8,2420.8,45124.3,2019,3,1,1.0,6.123233995736766e-17,104335.1,105321.2,102708.20000000001,100294.7,103140.1,106573.16666666667,103679.88333333335,103659.85833333334,0,0,2,0,0,0
2019-04-01,2537.6,5982.2,45650.4,3029.2,2432.3,45456.2,2019,4,2,0.8660254037844387,-0.4999999999999998,105087.9,104335.1,110063.2,99531.2,104897.7,104914.73333333334,104606.0,103675.70833333333,0,3,0,0,0,0
2019-05-01,2855.0,6386.8,47399.0,3347.7,2699.0,48147.6,2019,5,2,0.49999999999999994,-0.8660254037844387,110835.1,105087.9,105321.2,100120.4,107703.5,106752.7,106391.78333333333,103936.67499999999,3,2,0,0,0,0
2019-06-01,2838.3,6100.9,46148.0,3134.4,2658.5,45512.8,2019,6,2,1.2246467991473532e-16,-1.0,106392.9,110835.1,104335.1,102708.20000000001,105799.8,107438.63333333335,107005.90000000001,103986.10000000002,2,1,3,1,0,0
2019-07-01,2739.4,5855.9,46071.1,3040.0,2534.0,45268.8,2019,7,3,-0.4999999999999997,-0.8660254037844388,105509.20000000001,106392.9,105087.9,110063.2,101252.8,107579.06666666667,106246.89999999998,104340.8,1,3,2,0,0,0
2019-08-01,2661.4,5755.7,46466.6,3053.0,2463.8,45198.7,2019,8,3,-0.8660254037844384,-0.5000000000000004,105599.2,105509.20000000001,110835.1,105321.2,101890.5,105833.76666666668,106293.23333333334,104649.85833333334,3,3,1,0,0,0
2019-09-01,2593.9,5729.7,46515.9,3029.9,2408.2,45076.1,2019,9,3,-1.0,-1.8369701987210297e-16,105353.7,105599.2,106392.9,104335.1,100294.7,105487.36666666665,106463.0,105071.44166666667,3,0,3,0,0,0
2019-10-01,2551.0,5683.3,46971.5,3031.8,2346.6,45602.6,2019,10,4,-0.8660254037844386,0.5000000000000001,106186.8,105353.7,105509.20000000001,105087.9,99531.2,105713.23333333332,106646.15000000001,105626.075,0,1,3,0,0,0
2019-11-01,2525.4,5665.9,47386.8,3035.1,2329.0,45724.8,2019,11,4,-0.5000000000000004,0.8660254037844384,106667.0,106186.8,105599.2,110835.1,100120.4,106069.16666666667,105951.46666666667,106171.625,1,1,0,0,0,0
2019-12-01,2579.1,6098.4,48544.3,3182.2,2460.2,47424.3,2019,12,4,-2.4492935982947064e-16,1.0,110288.5,106667.0,105353.7,106392.9,102708.20000000001,107714.09999999999,106600.73333333334,106803.31666666667,1,3,1,0,0,0
2020-01-01,2697.7,6907.0,50100.2,3357.2,2690.7,49179.5,2020,1,1,0.49999999999999994,0.8660254037844387,114932.29999999999,110288.5,106186.8,105509.20000000001,110063.2,110629.26666666666,108171.25,107209.07500000001,3,0,1,0,1,0
2020-02-01,2644.3,6447.0,48775.0,3211.6,2604.0,46970.3,2020,2,1,0.8660254037844386,0.5000000000000001,110652.20000000001,114932.29999999999,106667.0,105599.2,105321.2,111957.66666666667,109013.41666666667,107653.325,0,0,3,0,0,0
2020-03-01,2613.0,6375.8,49771.5,3288.7,2557.3,47937.4,2020,3,1,1.0,6.123233995736766e-17,112543.7,110652.20000000001,110288.5,105353.7,104335.1,112709.40000000001,110211.75,108337.375,0,0,0,0,0,0
2020-04-01,2765.7,6646.8,51188.0,3383.3,2678.3,50847.9,2020,4,2,0.8660254037844387,-0.4999999999999998,117510.0,112543.7,114932.29999999999,106186.8,105087.9,113568.63333333335,112098.95,109372.54999999999,0,5,0,0,0,0
2020-05-01,2860.2,6701.3,53214.4,3578.9,2748.6,54430.8,2020,5,2,0.49999999999999994,-0.8660254037844387,123534.20000000001,117510.0,110652.20000000001,106667.0,110835.1,117862.63333333335,114910.15000000001,110430.80833333333,5,1,0,1,0,0
2020-06-01,2803.3,6477.8,52951.6,3435.4,2667.2,52757.8,2020,6,2,1.2246467991473532e-16,-1.0,121093.1,123534.20000000001,112543.7,110288.5,106392.9,120712.43333333333,116710.91666666667,111655.825,1,1,5,0,0,0
