date,year,month,quarter,month_sin,month_cos,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12
2004-08-01,2004,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,28212.0,28661.8,28608.5,26034.899999999998,28328.100000000002,28578.316666666666,28333.566666666666
2004-09-01,2004,9,3,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,28739.600000000002,28032.7,28651.299999999996,25930.6,28442.466666666664,28532.399999999998,28537.333333333332
2004-10-01,2004,10,4,-0.8660254037844386,0.5000000000000001,0,3,0,0,0,0,28375.8,28212.0,29172.5,26116.499999999996,29200.233333333337,28751.2,28901.399999999998
2004-11-01,2004,11,4,-0.5000000000000004,0.8660254037844384,3,1,0,1,0,0,30485.300000000003,28739.600000000002,28661.8,29083.7,29438.5,28883.300000000003,28932.291666666668
2004-12-01,2004,12,4,-2.4492935982947064e-16,1.0,1,1,3,0,0,0,29454.4,28375.8,28032.7,27593.5,30148.266666666666,29295.36666666667,29174.925
2005-01-01,2005,1,1,0.49999999999999994,0.8660254037844387,1,2,1,0,0,0,30505.100000000002,30485.300000000003,28212.0,31200.100000000002,31123.86666666667,30162.05,29359.258333333335
2005-02-01,2005,2,1,0.8660254037844386,0.5000000000000001,2,0,1,0,1,0,33412.1,29454.4,28739.600000000002,28608.5,32021.133333333335,30729.816666666666,29654.06666666667
2005-03-01,2005,3,1,1.0,6.123233995736766e-17,0,1,2,0,0,0,32146.200000000004,30505.100000000002,28375.8,28651.299999999996,32051.900000000005,31100.083333333332,29816.241666666665
2005-04-01,2005,4,2,0.8660254037844387,-0.4999999999999998,1,4,0,0,0,0,30597.4,33412.1,30485.300000000003,29172.5,31219.133333333335,31171.5,29961.350000000002
2005-05-01,2005,5,2,0.49999999999999994,-0.8660254037844387,4,1,1,0,0,0,30913.8,32146.200000000004,29454.4,28661.8,30661.233333333337,31341.183333333334,30112.241666666665
2005-06-01,2005,6,2,1.2246467991473532e-16,-1.0,1,0,4,0,0,0,30472.5,30597.4,30505.100000000002,28032.7,30443.766666666666,31247.833333333332,30271.599999999995
2005-07-01,2005,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,29945.0,30913.8,33412.1,28212.0,30342.899999999998,30781.016666666666,30471.53333333333
2005-08-01,2005,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,30611.199999999997,30472.5,32146.200000000004,28739.600000000002,30538.833333333332,30600.033333333336,30664.925
2005-09-01,2005,9,3,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,31060.299999999996,29945.0,30597.4,28375.8,30820.866666666665,30632.316666666662,30866.2
2005-10-01,2005,10,4,-0.8660254037844386,0.5000000000000001,0,2,0,0,0,0,30791.1,30611.199999999997,30913.8,30485.300000000003,32573.666666666668,31458.28333333333,31314.891666666666
2005-11-01,2005,11,4,-0.5000000000000004,0.8660254037844384,2,2,0,1,0,0,35869.6,31060.299999999996,30472.5,29454.4,32775.5,31657.16666666666,31499.175
2005-12-01,2005,12,4,-2.4492935982947064e-16,1.0,2,4,2,0,0,0,31665.799999999996,30791.1,29945.0,30505.100000000002,33441.933333333334,32131.399999999994,31689.61666666667
2006-01-01,2006,1,1,0.49999999999999994,0.8660254037844387,4,1,2,0,1,0,32790.4,35869.6,30611.199999999997,33412.1,34493.46666666667,33533.566666666666,32157.291666666668
2006-02-01,2006,2,1,0.8660254037844386,0.5000000000000001,1,0,4,0,1,0,39024.2,31665.799999999996,31060.299999999996,32146.200000000004,35204.799999999996,33990.149999999994,32295.091666666664
2006-03-01,2006,3,1,1.0,6.123233995736766e-17,0,1,1,0,0,0,33799.799999999996,32790.4,30791.1,30597.4,35312.93333333334,34377.433333333334,32504.875
2006-04-01,2006,4,2,0.8660254037844387,-0.4999999999999998,1,2,0,0,0,0,33114.8,39024.2,35869.6,30913.8,33495.23333333334,33994.35,32726.316666666666
2006-05-01,2006,5,2,0.49999999999999994,-0.8660254037844387,2,1,1,0,0,0,33571.100000000006,33799.799999999996,31665.799999999996,30472.5,33225.83333333334,34215.31666666667,32936.24166666667
2006-06-01,2006,6,2,1.2246467991473532e-16,-1.0,1,0,2,0,0,0,32991.6,33114.8,32790.4,29945.0,33258.66666666667,34285.799999999996,33208.6
2006-07-01,2006,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,33213.3,33571.100000000006,39024.2,30611.199999999997,33299.700000000004,33397.46666666667,33465.51666666667
2006-08-01,2006,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,33694.2,32991.6,33799.799999999996,31060.299999999996,33599.46666666667,33412.65,33701.4
2006-09-01,2006,9,3,-1.0,-1.8369701987210297e-16,0,2,1,0,0,0,33890.899999999994,33213.3,33114.8,30791.1,33804.833333333336,33531.75,33954.59166666667
2006-10-01,2006,10,4,-0.8660254037844386,0.5000000000000001,2,0,0,1,0,0,33829.4,33694.2,33571.100000000006,35869.6,34682.100000000006,33990.9,33992.625
2006-11-01,2006,11,4,-0.5000000000000004,0.8660254037844384,0,2,2,0,0,0,36326.0,33890.899999999994,32991.6,31665.799999999996,34674.466666666674,34136.96666666667,34176.14166666667
2006-12-01,2006,12,4,-2.4492935982947064e-16,1.0,2,1,0,0,0,0,33868.0,33829.4,33213.3,32790.4,35460.43333333334,34632.63333333333,34459.21666666667
2007-01-01,2007,1,1,0.49999999999999994,0.8660254037844387,1,3,2,0,0,0,36187.299999999996,36326.0,33694.2,39024.2,35642.53333333334,35162.31666666666,34279.89166666667
2007-02-01,2007,2,1,0.8660254037844386,0.5000000000000001,3,1,1,0,1,0,36872.3,33868.0,33890.899999999994,33799.799999999996,37176.26666666667,35925.36666666667,34669.00833333333
2007-03-01,2007,3,1,1.0,6.123233995736766e-17,1,0,3,0,0,0,38469.2,36187.299999999996,33829.4,33114.8,37267.06666666667,36363.75,34947.75
2007-04-01,2007,4,2,0.8660254037844387,-0.4999999999999998,0,1,1,0,0,0,36459.7,36872.3,36326.0,33571.100000000006,37495.100000000006,36568.816666666666,35279.85833333333
2007-05-01,2007,5,2,0.49999999999999994,-0.8660254037844387,1,1,0,0,0,0,37556.4,38469.2,33868.0,32991.6,36642.0,36909.13333333333,35523.049999999996
2007-06-01,2007,6,2,1.2246467991473532e-16,-1.0,1,0,1,0,0,0,35909.899999999994,36459.7,36187.299999999996,33213.3,36612.4,36939.73333333333,35786.18333333333
2007-07-01,2007,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,36370.899999999994,37556.4,36872.3,33694.2,36351.66666666667,36923.38333333333,36042.85
2007-08-01,2007,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,36774.200000000004,35909.899999999994,38469.2,33890.899999999994,37185.63333333334,36913.816666666666,36419.59166666667
2007-09-01,2007,9,3,-1.0,-1.8369701987210297e-16,0,3,1,0,0,0,38411.8,36370.899999999994,36459.7,33829.4,38331.366666666676,37471.88333333334,36917.816666666666
2007-10-01,2007,10,4,-0.8660254037844386,0.5000000000000001,3,0,0,1,0,0,39808.1,36774.200000000004,37556.4,36326.0,38709.4,37530.53333333333,37049.674999999996
2007-11-01,2007,11,4,-0.5000000000000004,0.8660254037844384,0,2,3,0,0,0,37908.3,38411.8,35909.899999999994,33868.0,38841.36666666667,38013.5,37461.316666666666
2007-12-01,2007,12,4,-2.4492935982947064e-16,1.0,2,1,0,0,0,0,38807.7,39808.1,36370.899999999994,36187.299999999996,39021.5,38676.433333333334,37808.083333333336
2008-01-01,2008,1,1,0.49999999999999994,0.8660254037844387,1,2,2,0,0,0,40348.5,37908.3,36774.200000000004,36872.3,41448.866666666676,40079.13333333334,38501.25833333333
2008-02-01,2008,2,1,0.8660254037844386,0.5000000000000001,2,1,1,0,1,0,45190.4,38807.7,38411.8,38469.2,43185.80000000001,41013.583333333336,38963.700000000004
