date,model,denomination_code,denomination,denomination_value,actual_value_rm_million,forecast_value_rm_million,actual_quantity_million_notes,forecast_quantity_million_notes,error_value_rm_million,absolute_error_value_rm_million,percentage_error
2025-03-01,SMA,note_10,RM10,10,8906.89582,8328.017883333334,890.689582,832.8017883333334,578.8779366666658,578.8779366666658,0.06499210817834242
2025-04-01,SMA,note_10,RM10,10,8743.021025,8705.540016666668,874.3021025,870.5540016666667,37.481008333332284,37.481008333332284,0.004286963079027055
2025-05-01,SMA,note_10,RM10,10,8563.33757,8729.369183333334,856.333757,872.9369183333334,-166.03161333333446,166.03161333333446,0.01938865681472072
2025-06-01,SMA,note_10,RM10,10,8464.03205,8737.751471666665,846.403205,873.7751471666664,-273.71942166666486,273.71942166666486,0.0323391286859157
2025-07-01,SMA,note_10,RM10,10,8149.19954,8590.130215,814.919954,859.0130214999999,-440.9306749999996,440.9306749999996,0.054107237506666774
2025-08-01,SMA,note_10,RM10,10,8076.924305,8392.18972,807.6924305,839.218972,-315.26541500000076,315.26541500000076,0.03903285496990934
2025-09-01,SMA,note_10,RM10,10,8015.28062,8230.051965,801.5280620000001,823.0051965,-214.7713450000001,214.7713450000001,0.02679523714542138
2025-10-01,SMA,note_10,RM10,10,8021.430935,8080.468155,802.1430935000001,808.0468155,-59.03721999999925,59.03721999999925,0.007359936210682995
2025-11-01,SMA,note_10,RM10,10,8011.4198,8037.87862,801.14198,803.787862,-26.458820000000742,26.458820000000742,0.0033026380667257934
2025-12-01,SMA,note_10,RM10,10,8357.020215,8016.043784999999,835.7020215,801.6043784999999,340.9764300000015,340.9764300000015,0.04080119722433883
2026-01-01,SMA,note_10,RM10,10,9187.221095,8129.9569833333335,918.7221095000001,812.9956983333334,1057.2641116666673,1057.2641116666673,0.11507985937576559
